item_name,weight,year_weight
Men's footwear,0.184,2023
Boys' and girls' footwear,0.122,2023
Women's footwear,0.2,2023
Infants' and toddlers' apparel,0.102,2023
Jewelry and watches,0.219,2023
Watches,0.037,2023
Jewelry,0.182,2023
Transportation,16.744,2023
Private transportation,15.959,2023
New and used motor vehicles,8.083,2023
New vehicles,4.313,2023
Used cars and trucks,2.668,2023
Leased cars and trucks,0.727,2023
Car and truck rental,0.127,2023
Unsampled new and used motor vehicles,0.247,2023
Motor fuel,3.275,2023
Gasoline (all types),3.172,2023
Other motor fuels,0.103,2023
Motor vehicle parts and equipment,0.491,2023
Tires,0.335,2023
Vehicle accessories other than tires,0.156,2023
Motor vehicle maintenance and repair,1.104,2023
Motor vehicle body work,0.057,2023
Motor vehicle maintenance and servicing,0.576,2023
Motor vehicle repair,0.414,2023
Unsampled service policies,0.057,2023
Motor vehicle insurance,2.511,2023
Motor vehicle fees,0.495,2023
State motor vehicle registration and license fees,0.278,2023
Parking and other fees,0.196,2023
Unsampled motor vehicle fees,0.021,2023
Public transportation,0.785,2023
Airline fares,0.587,2023
Other intercity transportation,0.049,2023
Intracity transportation,0.145,2023
Unsampled public transportation,0.004,2023
Medical care,8.108,2023
Medical care commodities,1.455,2023
Medicinal drugs,1.34,2023
Prescription drugs,0.945,2023
Nonprescription drugs,0.396,2023
Medical equipment and supplies,0.115,2023
Medical care services,6.653,2023
Professional services,3.611,2023
Physicians' services,1.855,2023
Dental services,0.917,2023
Eyeglasses and eye care,0.314,2023
Services by other medical professionals,0.524,2023
Hospital and related services,2.273,2023
Hospital services,1.94,2023
Nursing homes and adult day services,0.186,2023
Care of invalids and elderly at home,0.147,2023
Health insurance,0.77,2023
Recreation,5.385,2023
Video and audio,1.266,2023
Televisions,0.142,2023
Cable and satellite television service,0.865,2023
Other video equipment,0.016,2023
"Video discs and other media, including rental of video",0.117,2023
Audio equipment,0.056,2023
Recorded music and music subscriptions,0.06,2023
Unsampled video and audio,0.01,2023
"Pets, pet products and services",1.205,2023
Pets and pet products,0.669,2023
Pet services including veterinary,0.536,2023
Sporting goods,0.764,2023
Sports vehicles including bicycles,0.439,2023
Sports equipment,0.316,2023
Unsampled sporting goods,0.009,2023
Photography,0.061,2023
Photographic equipment and supplies,0.021,2023
Photographers and photo processing,0.038,2023
Unsampled photography,0.001,2023
Other recreational goods,0.44,2023
Toys,0.353,2023
"Sewing machines, fabric and supplies",0.024,2023
Music instruments and accessories,0.051,2023
Unsampled recreation commodities,0.012,2023
Other recreation services,1.536,2023
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",0.677,2023
Admissions,0.438,2023
Fees for lessons or instructions,0.184,2023
Unsampled recreation services,0.236,2023
Recreational reading materials,0.114,2023
Newspapers and magazines,0.061,2023
Recreational books,0.052,2023
Unsampled recreational reading materials,0,2023
Education and communication,5.845,2023
Education,2.274,2023
Educational books and supplies,0.099,2023
"Tuition, other school fees, and childcare",2.175,2023
College tuition and fees,1.197,2023
Elementary and high school tuition and fees,0.308,2023
Day care and preschool,0.569,2023
Technical and business school tuition and fees,0.026,2023
"Unsampled tuition, other school fees, and childcare",0.076,2023
Communication,3.571,2023
Postage and delivery services,0.074,2023
Postage,0.063,2023
Delivery services,0.01,2023
Information and information processing,3.497,2023
Telephone services,1.687,2023
Wireless telephone services,1.445,2023
Residential telephone services,0.242,2023
"Information technology, hardware and services",1.81,2023
"Computers, peripherals, and smart home assistants",0.371,2023
Computer software and accessories,0.023,2023
Internet services and electronic information providers,0.97,2023
"Telephone hardware, calculators, and other consumer information items",0.439,2023
Unsampled information and information processing,0.007,2023
Other goods and services,2.677,2023
Tobacco and smoking products,0.494,2023
Cigarettes,0.41,2023
Tobacco products other than cigarettes,0.077,2023
Unsampled tobacco and smoking products,0.007,2023
Personal care,2.183,2023
Personal care products,0.599,2023
"Hair, dental, shaving, and miscellaneous personal care products",0.315,2023
"Cosmetics, perfume, bath, nail preparations and implements",0.273,2023
Unsampled personal care products,0.011,2023
Personal care services,0.607,2023
Haircuts and other personal care services,0.607,2023
Miscellaneous personal services,0.828,2023
Legal services,0.24,2023
Funeral expenses,0.169,2023
Laundry and dry cleaning services,0.142,2023
Apparel services other than laundry and dry cleaning,0.027,2023
Financial services,0.174,2023
Unsampled items,0.076,2023
Miscellaneous personal goods,0.149,2023
All items,100,2023
Commodities,38.382,2023
Commodities less food and beverages,24.006,2023
Nondurables less food and beverages,11.36,2023
"Nondurables less food, beverages, and apparel",8.881,2023
Durables,12.646,2023
Services,61.618,2023
Rent of shelter,34.037,2023
Transportation services,5.75,2023
Other services,9.442,2023
All items less food,86.469,2023
All items less shelter,65.587,2023
All items less medical care,91.892,2023
Commodities less food,24.851,2023
Nondurables less food,12.205,2023
Nondurables less food and apparel,9.726,2023
Nondurables,25.737,2023
Apparel less footwear,1.974,2023
Services less rent of shelter,27.581,2023
Services less medical care services,54.964,2023
Energy,6.921,2023
All items less energy,93.079,2023
All items less food and energy,79.548,2023
Commodities less food and energy commodities,21.361,2023
Energy commodities,3.49,2023
Services less energy services,58.187,2023
Domestically produced farm food,7.307,2023
Utilities and public transportation,7.825,2023
